id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,characteristics_ch1.3,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,extract_protocol_ch1.2,taxid_ch1,description,data_processing,data_processing.1,data_processing.2,data_processing.3,data_processing.4,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,cdna synthesis:ch1,cell type:ch1,library prep:ch1,strain:ch1
Cmp.1,CMP cell 1 (poor quality),GSM1721146,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792324,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073989,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.2,CMP cell 2,GSM1721147,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792325,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073990,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.3,CMP cell 3,GSM1721148,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792326,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073991,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.4,CMP cell 4,GSM1721149,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792327,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073992,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.5,CMP cell 5,GSM1721150,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792328,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073993,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.6,CMP cell 6,GSM1721151,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792329,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073994,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.7,CMP cell 7,GSM1721152,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792330,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073995,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.8,CMP cell 8,GSM1721153,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792331,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073996,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.9,CMP cell 9,GSM1721154,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792332,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073997,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
Cmp.10,CMP cell 10,GSM1721155,Public on Aug 26 2016,Jun 24 2015,May 15 2019,SRA,1,Bone Marrow,Mus musculus,cell type: CMP Progenitors,strain: C57BL/6,cdna synthesis: Fluidigm C1 protocol,"library prep: Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",total RNA,"Cells were harvested from bone marrow. Femurs, tibias and iliac crest were harvested immediately after euthanasia and put in cold PBS+2%FBS. Bones were crushed with mortar and pestle, filtered and washed in cold PBS+2%FBS, then enriched using CD117 MicroBeads on a Automacs Pro separator (Miltenyi, San Diego, CA). CD117+ cells were stained with CD16/32-PerCp-ef710 (clone 93), CD3-biotin (clone 145-2C11), CD4-biotin (clone RM4-5), CD8-biotin (clone 53-6.7), CD11b-biotin (clone M1/70), CD19-biotin (clone 6D5), Gr1-biotin (clone RB6-8C5), Ter119-biotin (clone Ter-119) CD45R-biotin (clone RA3-6B2), CD117-APC (clone 2B8), Sca-1-Pe-Cy7 (clone D7), CD34-BV421 (clone RAM34), CD115-BV605 (clone TR15-12F1 2.2), CD135-PE (A2F10.1), CCR3-FITC (clone 83101), SiglecF (clone E50-2440) and Gr1-FITC (clone RB6-8C5). Cell sorting was performed on MoFloXDP (Beckman Coulter, Brea, CA) or BD FACSAria II with a 100μm nozzleand subjected to flow cytrometric sorting of Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate cells (CMP).","cDNA was made with Clontech SMARTer® Kit “the mRNA Seq: RT + Amp (1771x), Libraries were constructed using Nextera XT DNA Library Preparation Kit",Single cells were separated using Fluidigm C1 system,10090,Lin- CD117+ Sca1- CD16/32 dim CD34+,RNA reads were aligned to the reference mm9 mouse genome using Bowtie2.,Single-cell and matched bulk sorted RNA-Seq were analyzed using RSEM to estimate transcripts per million mapped reads (TPM) for all genes.,Differentially expressed genes were identified using AltAnalyze using a FDR adjusted empirical Bayes moderated t-test p<0.05.,Genome_build: mm9,Supplementary_files_format_and_content: Tab-delimited text file of log2 (incremented by 1 before log2) TPM RSEM expression values,GPL17021,"H. Leighton,,Grimes",Lee.Grimes@cchmc.org,513-636-6089,Grimes,Immunobiology,Cincinnati Childrens Hospital Medical Center,3333 Burnet Ave. MLC 7038,Cincinnati,OH,45229,USA,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03792333,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1073998,NONE,Fluidigm C1 protocol,CMP Progenitors,"Nextera XT DNA Library Preparation Kit (Illumina Inc, Santa Clara, CA)",C57BL/6
